method,seed,stage,wall_clock_s,peak_memory_mb,device
bayesian_network,100,generation,10.02,44.63,cpu
bayesian_network,101,generation,7.39,43.26,cpu
bayesian_network,102,generation,8.03,43.23,cpu
bayesian_network,103,generation,7.54,43.19,cpu
bayesian_network,104,generation,8.22,43.19,cpu
privbayes,100,generation,117.82,54.39,cpu
privbayes,101,generation,117.08,52.29,cpu
privbayes,102,generation,118.39,319.24,cpu
privbayes,103,generation,117.14,75.16,cpu
privbayes,104,generation,117.26,60.05,cpu
ctgan,100,generation,47.67,56.65,cuda
ctgan,101,generation,47.09,55.7,cuda
ctgan,102,generation,46.72,55.66,cuda
ctgan,103,generation,48.81,55.6,cuda
ctgan,104,generation,48.46,55.62,cuda
dpgan,100,generation,68.9,48.7,cuda
dpgan,101,generation,69.32,48.55,cuda
dpgan,102,generation,68.87,48.41,cuda
dpgan,103,generation,78.64,48.56,cuda
dpgan,104,generation,80.49,48.56,cuda
aim,100,generation,155.84,147.78,cpu
aim,101,generation,83.72,61.43,cpu
aim,102,generation,74.84,45.48,cpu
aim,103,generation,79.17,40.83,cpu
aim,104,generation,102.42,69.65,cpu
bayesian_network,100,fidelity,0.32,7.61,cpu
bayesian_network,101,fidelity,0.32,7.4,cpu
bayesian_network,102,fidelity,0.32,7.37,cpu
bayesian_network,103,fidelity,0.32,7.37,cpu
bayesian_network,104,fidelity,0.32,7.36,cpu
privbayes,100,fidelity,0.32,7.37,cpu
privbayes,101,fidelity,0.32,7.36,cpu
privbayes,102,fidelity,0.31,7.36,cpu
privbayes,103,fidelity,0.32,7.36,cpu
privbayes,104,fidelity,0.32,7.37,cpu
ctgan,100,fidelity,0.31,7.36,cpu
ctgan,101,fidelity,0.32,7.35,cpu
ctgan,102,fidelity,0.32,7.36,cpu
ctgan,103,fidelity,0.31,7.35,cpu
ctgan,104,fidelity,0.31,7.35,cpu
dpgan,100,fidelity,0.3,7.36,cpu
dpgan,101,fidelity,0.31,7.35,cpu
dpgan,102,fidelity,0.31,7.34,cpu
dpgan,103,fidelity,0.31,7.36,cpu
dpgan,104,fidelity,0.3,7.35,cpu
aim,100,fidelity,0.31,7.35,cpu
aim,101,fidelity,0.31,7.36,cpu
aim,102,fidelity,0.31,7.36,cpu
aim,103,fidelity,0.31,7.36,cpu
aim,104,fidelity,0.32,7.36,cpu
bayesian_network,100,utility,0.82,51.24,cpu
bayesian_network,101,utility,0.84,51.26,cpu
bayesian_network,102,utility,0.8,51.26,cpu
bayesian_network,103,utility,0.77,51.23,cpu
bayesian_network,104,utility,0.82,51.26,cpu
privbayes,100,utility,0.81,51.26,cpu
privbayes,101,utility,0.55,51.23,cpu
privbayes,102,utility,0.66,51.26,cpu
privbayes,103,utility,0.74,51.25,cpu
privbayes,104,utility,0.89,51.23,cpu
ctgan,100,utility,0.43,51.26,cpu
ctgan,101,utility,0.48,51.26,cpu
ctgan,102,utility,0.64,51.26,cpu
ctgan,103,utility,0.47,51.38,cpu
ctgan,104,utility,0.5,51.24,cpu
dpgan,100,utility,0.25,51.26,cpu
dpgan,101,utility,0.48,51.26,cpu
dpgan,102,utility,0.62,51.24,cpu
dpgan,103,utility,0.56,51.25,cpu
dpgan,104,utility,0.39,51.25,cpu
aim,100,utility,1.23,51.23,cpu
aim,101,utility,1.02,51.26,cpu
aim,102,utility,1.33,51.25,cpu
aim,103,utility,0.8,51.23,cpu
aim,104,utility,0.99,51.26,cpu
